REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_10_degree_0_beta_0.2.pcm	 0.254	 1.054	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_10_degree_-15_beta_0.2.pcm	 0.369	 1.064	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_10_degree_-15_beta_0.2.pk	 1.089	 1.183	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_10_degree_-30_beta_0.2.pcm	 0.367	 1.063	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_10_degree_15_beta_0.2.pcm	 0.578	 1.087	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_10_degree_-45_beta_0.2.pcm	 0.455	 1.072	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_10_degree_-30_beta_0.2.pk	 1.138	 1.196	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_10_degree_30_beta_0.2.pcm	 0.261	 1.054	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_10_degree_60_beta_0.2.pcm	 0.555	 1.084	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_10_degree_-60_beta_0.2.pcm	 0.210	 1.050	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_10_degree_45_beta_0.2.pcm	 0.493	 1.077	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_10_degree_-75_beta_0.2.pcm	 0.286	 1.056	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_10_degree_90_beta_0.2.pcm	 0.566	 1.085	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_10_degree_75_beta_0.2.pcm	 0.572	 1.086	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_15_beta_0.2.pcm	 0.491	 1.076	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_0_beta_0.3.pcm	 0.367	 1.063	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_10_degree_-90_beta_0.2.pcm	 0.357	 1.062	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_15_beta_0.3.pcm	 0.356	 1.062	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_-15_beta_0.3.pcm	 0.562	 1.085	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_-15_beta_0.2.pcm	 0.514	 1.079	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_-30_beta_0.2.pcm	 0.529	 1.081	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_-30_beta_0.3.pcm	 0.557	 1.084	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_30_beta_0.3.pcm	 0.491	 1.076	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_-45_beta_0.2.pcm	 0.618	 1.092	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_45_beta_0.2.pcm	 0.448	 1.072	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_-45_beta_0.3.pcm	 0.539	 1.082	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_60_beta_0.2.pcm	 0.461	 1.073	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_45_beta_0.3.pcm	 0.385	 1.065	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_60_beta_0.3.pcm	 0.482	 1.075	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_0_beta_0.3.pcm	 0.432	 1.070	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_90_beta_0.2.pcm	 0.350	 1.062	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_90_beta_0.3.pcm	 0.539	 1.082	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_0_beta_0.2.pcm	 0.232	 1.052	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_-15_beta_0.3.pcm	 0.636	 1.095	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_15_beta_0.2.pcm	 0.416	 1.068	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_75_beta_0.2.pcm	 0.401	 1.067	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_-60_beta_0.3.pcm	 0.560	 1.085	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_-60_beta_0.2.pcm	 0.518	 1.079	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_30_beta_0.2.pcm	 0.307	 1.058	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_-75_beta_0.2.pcm	 0.497	 1.077	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_75_beta_0.3.pcm	 0.420	 1.069	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_0_beta_0.2.pcm	 0.294	 1.057	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_-30_beta_0.2.pcm	 0.622	 1.093	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_-30_beta_0.3.pcm	 0.414	 1.068	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_-15_beta_0.2.pcm	 0.485	 1.076	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_30_beta_0.2.pcm	 0.517	 1.079	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_-90_beta_0.2.pcm	 0.572	 1.086	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_-90_beta_0.3.pcm	 0.541	 1.082	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_1_degree_-75_beta_0.3.pcm	 0.616	 1.092	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_15_beta_0.3.pcm	 0.267	 1.055	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_30_beta_0.3.pcm	 0.612	 1.091	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_-45_beta_0.2.pcm	 0.515	 1.079	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_45_beta_0.2.pcm	 0.655	 1.097	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_-45_beta_0.3.pcm	 0.354	 1.062	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_45_beta_0.3.pcm	 0.346	 1.061	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_-60_beta_0.2.pcm	 0.402	 1.067	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_60_beta_0.2.pcm	 0.378	 1.064	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_-60_beta_0.3.pcm	 0.547	 1.083	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_60_beta_0.3.pcm	 0.458	 1.073	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_-75_beta_0.2.pcm	 0.541	 1.082	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_75_beta_0.2.pcm	 0.530	 1.081	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_-75_beta_0.3.pcm	 0.560	 1.085	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_-90_beta_0.2.pcm	 0.558	 1.084	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_90_beta_0.2.pcm	 0.548	 1.083	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_2_degree_-90_beta_0.3.pcm	 0.477	 1.075	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_3_degree_0_beta_0.2.pcm	 0.298	 1.057	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_3_degree_-15_beta_0.2.pcm	 0.619	 1.092	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_3_degree_15_beta_0.2.pcm	 0.467	 1.074	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_3_degree_-30_beta_0.2.pcm	 0.348	 1.062	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_3_degree_30_beta_0.2.pcm	 0.156	 1.046	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_3_degree_-45_beta_0.2.pcm	 0.608	 1.091	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_3_degree_45_beta_0.2.pcm	 0.190	 1.049	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_3_degree_-60_beta_0.2.pcm	 0.574	 1.086	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_3_degree_60_beta_0.2.pcm	 0.531	 1.081	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_3_degree_-75_beta_0.2.pcm	 0.506	 1.078	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_3_degree_75_beta_0.2.pcm	 0.570	 1.086	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_3_degree_-90_beta_0.2.pcm	 0.577	 1.087	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_3_degree_90_beta_0.2.pcm	 0.510	 1.078	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_0_beta_0.2.pcm	 0.423	 1.069	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_-15_beta_0.2.pcm	 0.450	 1.072	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_15_beta_0.2.pcm	 0.394	 1.066	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_-30_beta_0.2.pcm	 0.375	 1.064	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_30_beta_0.2.pcm	 0.326	 1.060	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_-45_beta_0.2.pcm	 0.461	 1.073	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_45_beta_0.2.pcm	 0.496	 1.077	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_-60_beta_0.2.pcm	 0.566	 1.085	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_60_beta_0.2.pcm	 0.509	 1.078	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_-75_beta_0.2.pcm	 0.389	 1.066	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_75_beta_0.2.pcm	 0.554	 1.084	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_-90_beta_0.2.pcm	 0.398	 1.066	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_90_beta_0.2.pcm	 0.521	 1.080	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_0_beta_0.2.pcm	 0.252	 1.053	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_-15_beta_0.2.pcm	 0.134	 1.045	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_15_beta_0.2.pcm	 0.136	 1.045	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_-30_beta_0.2.pcm	 0.401	 1.067	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_30_beta_0.2.pcm	 0.180	 1.048	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_-45_beta_0.2.pcm	 0.546	 1.083	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_45_beta_0.2.pcm	 0.375	 1.064	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_-60_beta_0.2.pcm	 0.447	 1.071	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_60_beta_0.2.pcm	 0.418	 1.068	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_-75_beta_0.2.pcm	 0.627	 1.093	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_75_beta_0.2.pcm	 0.519	 1.080	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_-90_beta_0.2.pcm	 0.541	 1.082	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_90_beta_0.2.pcm	 0.522	 1.080	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_0_beta_0.2.pcm	 0.132	 1.045	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_-15_beta_0.2.pcm	 0.372	 1.064	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_15_beta_0.2.pcm	 0.549	 1.083	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_-30_beta_0.2.pcm	 0.533	 1.081	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_30_beta_0.2.pcm	 0.274	 1.055	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_-45_beta_0.2.pcm	 0.588	 1.088	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_45_beta_0.2.pcm	 0.299	 1.057	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_-60_beta_0.2.pcm	 0.501	 1.077	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_60_beta_0.2.pcm	 0.429	 1.070	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_-75_beta_0.2.pcm	 0.543	 1.082	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_75_beta_0.2.pcm	 0.438	 1.071	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_-90_beta_0.2.pcm	 0.323	 1.059	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_90_beta_0.2.pcm	 0.495	 1.077	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_7_degree_0_beta_0.2.pcm	 0.216	 1.051	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_7_degree_-15_beta_0.2.pcm	 0.667	 1.099	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_7_degree_15_beta_0.2.pcm	 0.549	 1.083	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_7_degree_-30_beta_0.2.pcm	 0.296	 1.057	 16000	nb
